"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2016","1,725.67","1,719.94","1,729.16","1,707.77","","0.34%"
"09/29/2016","1,719.77","1,727.68","1,733.23","1,716.81","","-0.34%"
"09/28/2016","1,725.63","1,721.00","1,728.06","1,715.04","","0.33%"
"09/27/2016","1,719.88","1,714.26","1,722.01","1,708.94","","0.29%"
"09/26/2016","1,714.85","1,729.89","1,730.34","1,714.16","","-0.86%"
"09/23/2016","1,729.70","1,738.98","1,739.01","1,729.26","","-0.62%"
"09/22/2016","1,740.55","1,725.15","1,743.39","1,725.15","","1.10%"
"09/21/2016","1,721.69","1,703.52","1,725.74","1,702.19","","1.08%"
"09/20/2016","1,703.23","1,701.55","1,710.61","1,701.54","","0.01%"
"09/19/2016","1,703.08","1,695.63","1,710.16","1,695.51","","0.40%"
"09/16/2016","1,696.31","1,706.43","1,707.53","1,691.63","","-0.50%"
"09/15/2016","1,704.84","1,692.29","1,707.96","1,688.81","","0.73%"
"09/14/2016","1,692.53","1,692.66","1,702.54","1,690.47","","-0.14%"
"09/13/2016","1,694.83","1,718.15","1,718.51","1,690.05","","-1.22%"
"09/12/2016","1,715.76","1,706.53","1,719.11","1,693.31","","0.46%"
"09/09/2016","1,707.94","1,742.61","1,743.60","1,707.94","","-2.09%"
"09/08/2016","1,744.44","1,746.48","1,750.06","1,740.49","","-0.17%"
"09/07/2016","1,747.47","1,746.18","1,749.10","1,743.27","","0.09%"
"09/06/2016","1,745.89","1,737.51","1,746.80","1,737.33","","0.49%"
"09/05/2016","1,737.39","1,736.41","1,739.91","1,736.25","","0.16%"
"09/02/2016","1,734.60","1,723.20","1,737.41","1,722.47","","0.64%"
"09/01/2016","1,723.55","1,720.45","1,724.85","1,715.59","","0.23%"
"08/31/2016","1,719.52","1,724.53","1,726.06","1,715.75","","-0.24%"
"08/30/2016","1,723.65","1,726.84","1,728.32","1,719.56","","-0.11%"
"08/29/2016","1,725.57","1,720.49","1,728.68","1,718.24","","-0.03%"
"08/26/2016","1,726.08","1,726.99","1,738.74","1,715.67","","-0.07%"
"08/25/2016","1,727.30","1,731.24","1,731.94","1,725.62","","-0.22%"
"08/24/2016","1,731.17","1,738.17","1,740.22","1,729.56","","-0.42%"
"08/23/2016","1,738.55","1,731.48","1,742.50","1,731.47","","0.34%"
"08/22/2016","1,732.61","1,730.93","1,733.94","1,726.47","","0.04%"
"08/19/2016","1,731.85","1,737.96","1,738.17","1,725.67","","-0.29%"
"08/18/2016","1,736.83","1,732.41","1,738.32","1,731.23","","0.30%"
"08/17/2016","1,731.64","1,732.59","1,733.92","1,724.38","","0.04%"
"08/16/2016","1,730.94","1,738.80","1,741.97","1,730.94","","-0.49%"
"08/15/2016","1,739.43","1,733.98","1,741.21","1,733.61","","0.19%"
"08/12/2016","1,736.10","1,734.81","1,738.21","1,732.47","","0.02%"
"08/11/2016","1,735.80","1,728.24","1,736.01","1,725.10","","0.48%"
"08/10/2016","1,727.49","1,728.04","1,732.95","1,725.97","","-0.06%"
